,Family Name,Given Name,Nation,Races,"Sh Time
P","Sh Time
S","Sh Time
T","Rg Time
P","Rg Time
S","Rg Time
T","Sh Time
IN","Sh Time
SP","Sh Time
Pu","Sh Time
MS","Rg Time
IN","Rg Time
SP","Rg Time
PU","Rg Time
MS","Penalty
Loop"
41,FIALKOVA,Paulina,SVK,16,0:30.8,0:30.2,0:30.5,0:52.0,0:51.2,0:51.6,0:30.3,0:30.7,0:30.5,0:30.8,0:51.7,0:52.2,0:50.2,0:54.0,0:25.0
42,POPOVA,Stefani,BUL,10,0:32.1,0:28.9,0:30.5,0:55.1,0:50.9,0:53.0,0:31.7,0:29.5,,,0:53.6,0:52.5,,,0:26.9
43,ZAGORUIKO,Anastasia,RUS,6,0:32.6,0:28.7,0:30.6,0:54.1,0:49.3,0:51.7,0:32.3,0:29.5,0:29.6,,0:52.5,0:50.2,0:51.6,,0:25.0
44,CHEVALIER,Anais,FRA,14,0:33.7,0:27.6,0:30.7,0:52.9,0:47.2,0:50.1,0:29.9,0:32.7,0:30.4,0:27.7,0:49.6,0:51.9,0:49.9,0:46.1,0:25.0
45,PADIAL HERNANDEZ,Victoria,ESP,4,0:29.9,0:31.4,0:30.7,0:51.4,0:54.0,0:52.7,0:31.8,0:29.9,,,0:51.8,0:53.3,,,0:27.8
46,VITKOVA,Veronika,CZE,24,0:33.3,0:28.3,0:30.8,0:53.8,0:48.8,0:51.3,0:31.3,0:31.2,0:30.8,0:30.1,0:51.6,0:52.3,0:51.8,0:49.7,0:24.8
47,PUSKARCIKOVA,Eva,CZE,19,0:31.4,0:30.2,0:30.8,0:53.5,0:52.0,0:52.7,0:33.7,0:31.4,0:29.5,0:30.8,0:56.5,0:52.9,0:51.5,0:52.4,0:24.9
48,NOWAKOWSKA,Weronika,POL,14,0:31.7,0:30.0,0:30.9,0:52.7,0:50.5,0:51.6,0:30.5,0:30.9,0:31.2,,0:50.1,0:51.6,0:53.2,,0:24.8
49,POJE,Urska,SLO,5,0:35.3,0:26.5,0:30.9,0:56.6,0:48.2,0:52.4,0:34.0,0:29.3,,,0:55.4,0:50.9,,,0:25.9
50,AADLANDSVIK,Lene Berg,NOR,1,0:36.0,0:26.0,0:31.0,0:58.5,0:48.7,0:53.6,0:31.0,,,,0:53.6,,,,
51,CHEVALIER,Chloe,FRA,1,0:31.0,0:31.0,0:31.0,0:51.0,0:51.0,0:51.0,,0:31.0,,,,0:51.0,,,0:25.0
52,ALIMBEKAVA,Dzinara,BLR,1,0:34.0,0:28.0,0:31.0,0:57.2,0:53.5,0:55.4,,0:31.0,,,,0:55.4,,,0:24.7
53,ECKHOFF,Tiril,NOR,19,0:32.9,0:29.4,0:31.1,0:52.8,0:49.2,0:51.0,0:32.8,0:33.0,0:29.2,0:31.3,0:52.9,0:54.1,0:49.0,0:50.2,0:23.3
54,PIDHRUSHNA,Olena,UKR,23,0:34.0,0:28.3,0:31.2,0:54.1,0:48.4,0:51.1,0:35.9,0:30.3,0:31.2,0:29.6,0:57.4,0:50.2,0:51.4,0:48.4,0:24.6
55,RUNGGALDIER,Alexia,ITA,4,0:32.2,0:30.1,0:31.2,0:53.9,0:51.7,0:52.8,0:31.1,0:33.0,0:30.3,,0:51.9,0:54.3,0:53.9,,0:23.0
56,BENDIKA,Baiba,LAT,17,0:33.9,0:28.8,0:31.3,0:55.6,0:50.0,0:52.8,0:32.0,0:31.8,0:30.5,0:30.3,0:52.8,0:53.1,0:52.9,0:51.4,0:26.2
57,BURDYGA,Natalya,UKR,13,0:32.1,0:30.5,0:31.3,0:53.8,0:52.5,0:53.1,0:31.8,0:32.2,0:30.7,,0:54.7,0:53.3,0:52.4,,0:24.6
58,DREISSIGACKER,Hannah,USA,11,0:31.8,0:31.0,0:31.4,0:53.0,0:52.1,0:52.5,0:31.5,0:30.9,0:32.8,0:30.1,0:51.9,0:53.2,0:54.5,0:47.9,0:26.3
59,TANDY,Megan,CAN,8,0:31.7,0:31.0,0:31.4,0:54.3,0:53.6,0:53.9,0:30.8,0:32.2,0:31.0,,0:54.3,0:54.3,0:53.2,,0:26.1
60,BEAUDRY,Sarah,CAN,5,0:34.0,0:28.9,0:31.4,0:55.4,0:50.6,0:53.0,0:32.5,0:32.2,0:29.3,,0:51.6,0:53.8,0:53.4,,0:28.1
61,YURKEVICH,Darya,BLR,16,0:34.5,0:28.6,0:31.5,0:55.6,0:50.9,0:53.2,0:30.6,0:33.9,0:30.3,0:32.3,0:51.7,0:55.5,0:51.7,0:57.6,0:26.7
62,HOFFMANN,Susanne,AUT,12,0:33.4,0:29.7,0:31.5,0:54.3,0:51.1,0:52.7,0:34.2,0:30.9,0:31.4,,0:59.0,0:51.8,0:51.9,,0:26.3
63,CHRAPANOVA,Martina,SVK,6,0:33.1,0:30.0,0:31.5,0:56.6,0:52.7,0:54.7,0:31.2,0:31.9,,,0:52.2,0:57.2,,,0:26.9
64,TOMESOVA,Barbora,CZE,2,0:32.3,0:30.7,0:31.5,0:54.9,0:51.6,0:53.2,,0:31.5,,,,0:53.2,,,0:26.0
65,SLEPTSOVA,Svetlana,RUS,1,0:33.4,0:29.8,0:31.6,0:52.1,0:47.8,0:50.0,,0:31.6,,,,0:50.0,,,0:26.0
66,HOJNISZ,Monika,POL,23,0:33.3,0:30.4,0:31.9,0:54.5,0:50.5,0:52.5,0:32.9,0:30.9,0:30.9,0:33.9,0:53.8,0:51.5,0:51.6,0:54.0,0:24.5
67,PAULAUSKAITE,Natalija,LTU,11,0:34.7,0:29.1,0:31.9,0:58.0,0:51.8,0:54.9,0:30.8,0:32.6,0:31.3,,0:53.3,0:55.5,0:56.0,,0:27.7
68,GREGORIN,Teja,SLO,17,0:32.7,0:31.3,0:32.0,0:53.9,0:52.8,0:53.4,0:34.9,0:31.6,0:31.5,,0:55.8,0:53.3,0:52.7,,0:24.3
69,RANSOM,Julia,CAN,18,0:32.9,0:31.1,0:32.0,0:54.6,0:52.6,0:53.6,0:33.4,0:32.5,0:31.1,,0:55.1,0:54.4,0:52.5,,0:26.1
70,TANDREVOLD,Ingrid Landma,NOR,2,0:35.2,0:28.7,0:32.0,0:53.3,0:49.3,0:51.3,,0:29.1,0:33.4,,,0:52.5,0:50.7,,0:24.5
71,LEHTLA,Kadri,EST,11,0:31.0,0:33.1,0:32.0,0:55.5,0:56.3,0:55.9,0:31.9,0:31.6,0:34.0,,0:55.6,0:55.1,0:59.9,,0:26.9
72,HINZ,Vanessa,GER,18,0:31.3,0:32.8,0:32.1,0:52.1,0:54.0,0:53.0,0:34.8,0:30.8,0:31.8,0:31.2,0:55.3,0:52.3,0:52.3,0:52.8,0:24.5
73,DORIN HABERT,Marie,FRA,25,0:33.5,0:31.4,0:32.3,0:52.8,0:51.3,0:52.0,0:33.2,0:33.4,0:31.9,0:31.4,0:53.0,0:54.6,0:51.7,0:49.7,0:23.3
